Date,District,Price,year,month,cpi_monthly_avg,cpi_index,cum_price_level,population,pop_growth_rate,hcm_spatial_cost_index,real_price,population_millions,affordability_index
2017-12-28,District 7,50.21,2017,12,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,50.21,95.176977,50.21
2017-12-29,District 7,52.14,2017,12,100.21,100.0,1.0,95176977.0,0.01251977165092244,101.38,52.14,95.176977,52.14
2018-01-02,District 7,53.37,2018,1,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,51.79461715622469,96.237319,53.348705236907726
2018-01-03,District 7,51.65,2018,1,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,50.12538834774228,96.237319,51.629391521197
2018-01-04,District 7,51.58,2018,1,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,50.0574546171645,96.237319,51.55941945137157
2018-01-05,District 7,51.33,2018,1,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,49.814834150815315,96.237319,51.309519201995
2018-01-08,District 7,55.72,2018,1,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,54.07524953990706,96.237319,55.69776758104737
2018-01-09,District 7,53.31,2018,1,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,51.73638824430089,96.237319,53.28872917705736
2018-01-10,District 7,53.37,2018,1,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,51.79461715622469,96.237319,53.348705236907726
2018-01-11,District 7,55.98,2018,1,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,54.327574824910215,96.237319,55.95766384039899
2018-01-12,District 7,53.39,2018,1,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,51.814026793532626,96.237319,53.36869725685786
2018-01-15,District 7,51.2,2018,1,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,49.68867150831374,96.237319,51.1795710723192
2018-01-16,District 7,55.01,2018,1,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,53.38620741547537,96.237319,54.98805087281795
2018-01-17,District 7,55.6,2018,1,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,53.95879171605945,96.237319,55.577815461346624
2018-01-18,District 7,52.44,2018,1,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,50.89206902140571,96.237319,52.41907630922693
2018-01-19,District 7,53.03,2018,1,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,51.4646533219898,96.237319,53.008840897755604
2018-01-22,District 7,54.38,2018,1,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,52.77480384027542,96.237319,54.35830224438902
2018-01-23,District 7,52.64,2018,1,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,51.086165394485064,96.237319,52.61899650872818
2018-01-24,District 7,51.26,2018,1,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,49.746900420237544,96.237319,51.23954713216957
2018-01-25,District 7,52.02,2018,1,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,50.48446663793908,96.237319,51.999243890274315
2018-01-26,District 7,52.98,2018,1,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,51.41612922871995,96.237319,52.958860847880295
2018-01-29,District 7,54.63,2018,1,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,53.017424306624605,96.237319,54.60820249376558
2018-01-30,District 7,53.78,2018,1,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,52.19251472103736,96.237319,53.75854164588528
2018-01-31,District 7,51.22,2018,1,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,49.70808114562168,96.237319,51.199563092269315
2018-02-01,District 7,50.13,2018,2,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,48.65025591233922,96.237319,50.10999800498753
2018-02-02,District 7,48.28,2018,2,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,46.85486446135522,96.237319,48.260736159600995
2018-02-05,District 7,48.09,2018,2,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,46.670472906929845,96.237319,48.070811970074814
2018-02-06,District 7,51.71,2018,2,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,50.183617259666086,96.237319,51.68936758104737
2018-02-07,District 7,49.12,2018,2,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,47.67006922828849,96.237319,49.10040099750623
2018-02-08,District 7,52.56,2018,2,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,51.00852684525333,96.237319,52.53902842892768
2018-02-09,District 7,48.65,2018,2,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,47.21394275155202,96.237319,48.630588528678295
2018-02-12,District 7,51.46,2018,2,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,49.9409967933169,96.237319,51.43946733167082
2018-02-13,District 7,50.53,2018,2,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,49.03844865849791,96.237319,50.509838403990024
2018-02-14,District 7,50.65,2018,2,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,49.154906482345524,96.237319,50.629790523690765
2018-02-22,District 7,52.68,2018,2,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,51.12498466910093,96.237319,52.65898054862842
2018-02-23,District 7,49.81,2018,2,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,48.339701715412254,96.237319,49.79012568578553
2018-02-26,District 7,49.5,2018,2,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,48.03885233713926,96.237319,49.4802493765586
2018-02-27,District 7,48.36,2018,2,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,46.93250301058696,96.237319,48.34070423940149
2018-02-28,District 7,48.8,2018,2,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,47.35951503136153,96.237319,48.78052867830423
2018-03-01,District 7,53.77,2018,3,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,52.1828099023834,96.237319,53.748545635910226
2018-03-02,District 7,52.26,2018,3,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,50.717382285634294,96.237319,52.239148129675804
2018-03-05,District 7,51.76,2018,3,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,50.23214135293592,96.237319,51.73934763092268
2018-03-06,District 7,54.9,2018,3,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,53.27945441028172,96.237319,54.878094763092264
2018-03-07,District 7,54.1,2018,3,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,52.50306891796432,96.237319,54.07841396508728
2018-03-08,District 7,53.48,2018,3,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,51.901370161418335,96.237319,53.458661346633406
2018-03-09,District 7,53.56,2018,3,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,51.97900871065008,96.237319,53.538629426433914
2018-03-12,District 7,55.02,2018,3,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,53.39591223412934,96.237319,54.99804688279302
2018-03-13,District 7,53.64,2018,3,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,52.056647259881814,96.237319,53.61859750623441
2018-03-14,District 7,53.49,2018,3,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,51.91107498007231,96.237319,53.468657356608475
2018-03-15,District 7,51.29,2018,3,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,49.77601487619945,96.237319,51.26953516209476
2018-03-16,District 7,53.28,2018,3,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,51.70727378833899,96.237319,53.25874114713216
2018-03-19,District 7,55.69,2018,3,100.25,100.03991617603035,1.0304159569135067,96237319.0,0.011140740475503952,101.47,54.04613508394516,96.237319,55.66777955112219
